bodyPart,kor_bodyPart,equipment,kor_equipment,gifUrl,id,name,kor_name,target,kor_target
waist,허리,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/0001.gif,1,3/4 sit-up,3/4 시트 업,abs,복근
waist,허리,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/0002.gif,2,45° side bend,45° 사이드 벤드,abs,복근
waist,허리,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/0003.gif,3,air bike,에어 바이크,abs,복근
upper legs,다리 상부,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/1512.gif,1512,all fours squad stretch,올 포스 스쿼드 스트레치,quads,대퇴사두근
waist,허리,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/0006.gif,6,alternate heel touchers,알터나이트 힐 터허스,abs,복근
back,등,cable,케이블,http://d205bpvrqc9yn1.cloudfront.net/0007.gif,7,alternate lateral pulldown,알터나이트 라테랄 풀다운,lats,광배
lower legs,다리 하부,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/1368.gif,1368,ankle circles,앵클 서클레스,calves,종아리
back,등,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/3293.gif,3293,archer pull up,아처 풀 업,lats,광배
chest,가슴,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/3294.gif,3294,archer push up,아처 푸시 업,pectorals,가슴
waist,허리,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/2355.gif,2355,arm slingers hanging bent knee legs,암 슬린저스 행잉 벤트 니키 레그스,abs,복근
waist,허리,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/2333.gif,2333,arm slingers hanging straight legs,암 슬린저스 행잉 스트레이트 레그스,abs,복근
upper legs,다리 상부,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/3214.gif,3214,arms apart circular toe touch (male),암스 아파트 서큘러 토 터치 (메일),glutes,둔근
waist,허리,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/3204.gif,3204,arms overhead full sit-up (male),암스 오버헤드 풀 시트 업 (메일),abs,복근
chest,가슴,leverage machine,레버리지 머신,http://d205bpvrqc9yn1.cloudfront.net/0009.gif,9,assisted chest dip (kneeling),어시스티드 체스트 디아프 (닐링),pectorals,가슴
waist,허리,assisted,도움,http://d205bpvrqc9yn1.cloudfront.net/0011.gif,11,assisted hanging knee raise,어시스티드 행잉 니키 라이즈,abs,복근
waist,허리,assisted,도움,http://d205bpvrqc9yn1.cloudfront.net/0010.gif,10,assisted hanging knee raise with throw down,어시스티드 행잉 니키 라이즈 위드 스로 다운,abs,복근
lower legs,다리 하부,assisted,도움,http://d205bpvrqc9yn1.cloudfront.net/1708.gif,1708,assisted lying calves stretch,어시스티드 라잉 캘버스 스트레치,calves,종아리
upper legs,다리 상부,assisted,도움,http://d205bpvrqc9yn1.cloudfront.net/1709.gif,1709,assisted lying glutes stretch,어시스티드 라잉 글루트 스트레치,glutes,둔근
upper legs,다리 상부,assisted,도움,http://d205bpvrqc9yn1.cloudfront.net/1710.gif,1710,assisted lying gluteus and piriformis stretch,어시스티드 라잉 글루테우스 앤드 피리포르미스 스트레치,glutes,둔근
waist,허리,assisted,도움,http://d205bpvrqc9yn1.cloudfront.net/0012.gif,12,assisted lying leg raise with lateral throw down,어시스티드 라잉 레그 라이즈 위드 라테랄 스로 다운,abs,복근
waist,허리,assisted,도움,http://d205bpvrqc9yn1.cloudfront.net/0013.gif,13,assisted lying leg raise with throw down,어시스티드 라잉 레그 라이즈 위드 스로 다운,abs,복근
waist,허리,medicine ball,메디슨 볼,http://d205bpvrqc9yn1.cloudfront.net/0014.gif,14,assisted motion russian twist,어시스티드 모션 러시안 트위스트,abs,복근
back,등,leverage machine,레버리지 머신,http://d205bpvrqc9yn1.cloudfront.net/0015.gif,15,assisted parallel close grip pull-up,어시스티드 패럴렐 클로스 그립 풀 업,lats,광배
upper legs,다리 상부,assisted,도움,http://d205bpvrqc9yn1.cloudfront.net/0016.gif,16,assisted prone hamstring,어시스티드 프론 햄스트링,hamstrings,햄스트링
upper legs,다리 상부,assisted,도움,http://d205bpvrqc9yn1.cloudfront.net/1713.gif,1713,assisted prone lying quads stretch,어시스티드 프론 라잉 쿼즈 스트레치,quads,대퇴사두근
waist,허리,assisted,도움,http://d205bpvrqc9yn1.cloudfront.net/1714.gif,1714,assisted prone rectus femoris stretch,어시스티드 프론 렉터스 페모리스 스트레치,abs,복근
back,등,leverage machine,레버리지 머신,http://d205bpvrqc9yn1.cloudfront.net/0017.gif,17,assisted pull-up,어시스티드 풀 업,lats,광배
chest,가슴,assisted,도움,http://d205bpvrqc9yn1.cloudfront.net/1716.gif,1716,assisted seated pectoralis major stretch with stability ball,어시스티드 시트 펙토럴리스 메이저 스트레치 위드 스타빌리티 볼,pectorals,가슴
upper legs,다리 상부,assisted,도움,http://d205bpvrqc9yn1.cloudfront.net/1712.gif,1712,assisted side lying adductor stretch,어시스티드 사이드 라잉 어덕터 스트레치,adductors,내전근
waist,허리,assisted,도움,http://d205bpvrqc9yn1.cloudfront.net/1758.gif,1758,assisted sit-up,어시스티드 시트 업,abs,복근
back,등,leverage machine,레버리지 머신,http://d205bpvrqc9yn1.cloudfront.net/1431.gif,1431,assisted standing chin-up,어시스티드 스탠딩 친 업,lats,광배
back,등,leverage machine,레버리지 머신,http://d205bpvrqc9yn1.cloudfront.net/1432.gif,1432,assisted standing pull-up,어시스티드 스탠딩 풀 업,lats,광배
upper arms,팔 상부,assisted,도움,http://d205bpvrqc9yn1.cloudfront.net/0018.gif,18,assisted standing triceps extension (with towel),어시스티드 스탠딩 트리셉스 익스텐션 (위드 타월),triceps,삼두근
upper arms,팔 상부,leverage machine,레버리지 머신,http://d205bpvrqc9yn1.cloudfront.net/0019.gif,19,assisted triceps dip (kneeling),어시스티드 트리셉스 디아프 (닐링),triceps,삼두근
chest,가슴,leverage machine,레버리지 머신,http://d205bpvrqc9yn1.cloudfront.net/2364.gif,2364,assisted wide-grip chest dip (kneeling),어시스티드 와이드 그립 체스트 디아프 (닐링),pectorals,가슴
cardio,유산소,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/3220.gif,3220,astride jumps (male),아스트리드 점프스 (메일),cardiovascular system,심혈관계
cardio,유산소,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/3672.gif,3672,back and forth step,백 앤드 포스 스텝,cardiovascular system,심혈관계
back,등,stability ball,짐 볼,http://d205bpvrqc9yn1.cloudfront.net/1314.gif,1314,back extension on exercise ball,백 익스텐션 온 엑서사이즈 볼,spine,척추
back,등,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/3297.gif,3297,back lever,백 레버,upper back,등 상부
back,등,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/1405.gif,1405,back pec stretch,백 펙 스트레치,lats,광배
upper legs,다리 상부,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/1473.gif,1473,backward jump,백워드 점프,quads,대퇴사두근
upper legs,다리 상부,body weight,체중,http://d205bpvrqc9yn1.cloudfront.net/0020.gif,20,balance board,밸런스 보드,quads,대퇴사두근
upper arms,팔 상부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0968.gif,968,band alternating biceps curl,밴드 알터나이팅 비셉스 컬,biceps,이두근
waist,허리,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0969.gif,969,band alternating v-up,밴드 알터나이팅 브이 업,abs,복근
back,등,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0970.gif,970,band assisted pull-up,밴드 어시스티드 풀 업,lats,광배
waist,허리,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0971.gif,971,band assisted wheel rollerout,밴드 어시스티드 휠 롤러루트,abs,복근
chest,가슴,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1254.gif,1254,band bench press,밴드 벤치 프레스,pectorals,가슴
upper legs,다리 상부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0980.gif,980,band bent-over hip extension,밴드 벤트 오버 히프 익스텐션,glutes,둔근
waist,허리,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0972.gif,972,band bicycle crunch,밴드 비사이클 크런치,abs,복근
back,등,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0974.gif,974,band close-grip pulldown,밴드 클로스 그립 풀다운,lats,광배
upper arms,팔 상부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0975.gif,975,band close-grip push-up,밴드 클로스 그립 푸시 업,triceps,삼두근
upper arms,팔 상부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0976.gif,976,band concentration curl,밴드 콘센트레이션 컬,biceps,이두근
back,등,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/3117.gif,3117,band fixed back close grip pulldown,밴드 픽세드 백 클로스 그립 풀다운,lats,광배
back,등,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/3116.gif,3116,band fixed back underhand pulldown,밴드 픽세드 백 언더핸드 풀다운,lats,광배
shoulders,어깨,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0977.gif,977,band front lateral raise,밴드 프런트 라테랄 라이즈,delts,삼각근
shoulders,어깨,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0978.gif,978,band front raise,밴드 프런트 라이즈,delts,삼각근
upper legs,다리 상부,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/1408.gif,1408,band hip lift,밴드 히프 리프트,glutes,둔근
waist,허리,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0979.gif,979,band horizontal pallof press,밴드 허로이즌털 팔로프 프레스,abs,복근
waist,허리,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0981.gif,981,band jack knife sit-up,밴드 잭 나이프 시트 업,abs,복근
back,등,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0983.gif,983,band kneeling one arm pulldown,밴드 닐링 원 암 풀다운,lats,광배
waist,허리,band,밴드,http://d205bpvrqc9yn1.cloudfront.net/0985.gif,985,band kneeling twisting crunch,밴드 닐링 트위스팅 크런치,abs,복근
